"light_bias","v_mean","Y","p_bite","r_scale","N1","N2","N3","N4","total"
0.75,0.8,1,0.2,0.45,0,4,28,6,38
1,0.8,1,0.2,0.45,0,0,55,0,55
0,1.2,1,0.2,0.45,1,0,19,6,26
0.25,1.2,1,0.2,0.45,0,5,27,10,42
0.5,1.2,1,0.2,0.45,0,1,26,8,35
0.75,1.2,1,0.2,0.45,0,1,25,11,37
1,1.2,1,0.2,0.45,0,0,459,0,459
0,1.6,1,0.2,0.45,1,1,25,9,36
0.25,1.6,1,0.2,0.45,0,3,22,8,33
0.5,1.6,1,0.2,0.45,0,3,22,9,34
0.75,1.6,1,0.2,0.45,0,3,22,6,31
1,1.6,1,0.2,0.45,0,0,374,32,406
0,0.8,2,0.2,0.45,1,0,45,8,54
0.25,0.8,2,0.2,0.45,0,1,47,16,64
0.5,0.8,2,0.2,0.45,0,2,36,8,46
0.75,0.8,2,0.2,0.45,0,0,41,9,50
1,0.8,2,0.2,0.45,0,0,12287,24,12311
0,1.2,2,0.2,0.45,0,3,28,9,40
0.25,1.2,2,0.2,0.45,0,3,29,7,39
0.5,1.2,2,0.2,0.45,0,3,27,12,42
0.75,1.2,2,0.2,0.45,0,1,23,6,30
1,1.2,2,0.2,0.45,0,0,0,0,0
0,1.6,2,0.2,0.45,1,3,17,11,32
0.25,1.6,2,0.2,0.45,1,3,23,7,34
0.5,1.6,2,0.2,0.45,0,1,32,4,37
0.75,1.6,2,0.2,0.45,0,3,37,10,50
1,1.6,2,0.2,0.45,0,0,5215,314,5529
0,0.8,3,0.2,0.45,0,2,92,14,108
0.25,0.8,3,0.2,0.45,0,4,70,9,83
0.5,0.8,3,0.2,0.45,0,3,59,5,67
0.75,0.8,3,0.2,0.45,0,2,37,10,49
1,0.8,3,0.2,0.45,0,0,172191,0,172191
0,1.2,3,0.2,0.45,0,3,46,9,58
0.25,1.2,3,0.2,0.45,0,1,20,10,31
0.5,1.2,3,0.2,0.45,0,2,26,7,35
0.75,1.2,3,0.2,0.45,0,0,41,5,46
1,1.2,3,0.2,0.45,0,0,187380,0,187380
