"light_bias","v_mean","Y","p_bite","r_scale","N1","N2","N3","N4","total"
0.25,1.2,2,0.5,0.45,0,4,72,26,102
0.5,1.2,2,0.5,0.45,0,15,115,18,148
0.75,1.2,2,0.5,0.45,0,6,111,27,144
1,1.2,2,0.5,0.45,0,0,5385,0,5385
0,1.6,2,0.5,0.45,1,11,60,24,96
0.25,1.6,2,0.5,0.45,0,11,70,20,101
0.5,1.6,2,0.5,0.45,0,13,51,19,83
0.75,1.6,2,0.5,0.45,0,3,71,21,95
1,1.6,2,0.5,0.45,0,0,66998,60,67058
0,0.8,3,0.5,0.45,0,4,2976,51,3031
0.25,0.8,3,0.5,0.45,0,1,4302,51,4354
0.5,0.8,3,0.5,0.45,0,24,886,28,938
0.75,0.8,3,0.5,0.45,0,33,2811,57,2901
1,0.8,3,0.5,0.45,0,0,0,0,0
0,1.2,3,0.5,0.45,3,9,103,28,143
0.25,1.2,3,0.5,0.45,0,31,149,21,201
0.5,1.2,3,0.5,0.45,0,13,164,32,209
0.75,1.2,3,0.5,0.45,0,6,154,28,188
1,1.2,3,0.5,0.45,0,0,0,0,0
0,1.6,3,0.5,0.45,10,7,77,15,109
0.25,1.6,3,0.5,0.45,3,23,74,30,130
0.5,1.6,3,0.5,0.45,0,4,79,22,105
0.75,1.6,3,0.5,0.45,0,10,85,14,109
1,1.6,3,0.5,0.45,0,0,280748,0,280748
